,Наименование,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Ремонт,Год постройки,Мусоропровод,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Этаж,Адрес,Цена,Балкон/лоджия,Вид из окон,Количество лифтов,Парковка,Газоснабжение,Строительная серия
29,2-комн. квартира,Вторичка,"39,3","28,7",6,"2,7 м",1 совмещенный,Без ремонта,1960,,Кирпичный,Железобетонные,1,Котел/Квартирное отопление,Нет,2 из 3,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Березовский, Знаменская ул., 19На картеДвигатель Революции9 мин.Пролетарская9 мин.Автозаводская10 мин.",2 500 000 ₽,,,,,Центральное,
30,2-комн. квартира,Вторичка,"45,6",29,6,"2,5 м",1 совмещенный,Дизайнерский,1967,,Панельный,Железобетонные,6,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Нагорный, ул. Бориса Корнилова, 7к1На картеГорьковская7 мин.Московская13 мин.Ленинская14 мин.",6 790 000 ₽,1 балкон,Во двор,,Наземная,Центральное,1-464А
31,3-комн. квартира,Вторичка,"81,6","54,2","11,7",,1 раздельный,Без ремонта,1938,,,Нет информации,3,Центральное,Нет,3 из 4,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, Соцгород-1 микрорайон, просп. Кирова, 9На карте",5 750 000 ₽,,,,,Центральное,
32,1-комн. квартира,Вторичка,"32,3","18,2","5,7",,1 совмещенный,Без ремонта,1965,,Кирпичный,Железобетонные,4,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, Соцгород-1 микрорайон, просп. Кирова, 20На карте",2 980 000 ₽,,На улицу,,,Центральное,
33,Студия,Вторичка,26,12,4,,,Без ремонта,1929,,Кирпичный,Деревянные,5,Центральное,Нет,3 из 3,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Двигатель Революции, ул. Адмирала Нахимова, 28На карте",2 250 000 ₽,,,,,Центральное,
34,3-комн. квартира,Вторичка,"74,5","38,4","8,2",,1 раздельный,Евроремонт,1995,,Кирпичный,Железобетонные,1,Центральное,Нет,2 из 10,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, Юбилейная ул., 28На картеГорьковская8 мин.Ленинская13 мин.Московская11 мин.",8 800 000 ₽,1 лоджия,На улицу и двор,,,Центральное,
35,1-комн. квартира,Вторичка,33,18,9,"2,5 м",1 совмещенный,,1978,,Кирпичный,Железобетонные,4,Центральное,Нет,2 из 9,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, ул. Белинского, 85На карте",7 200 000 ₽,1 балкон,Во двор,1 пассажирский,,Центральное,
36,2-комн. квартира,Вторичка,"46,2","30,4","5,7",,1 совмещенный,Косметический,1970,,Кирпичный,Железобетонные,6,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Сортировочный, Московское ш., 262На карте",3 850 000 ₽,1 балкон,,,,Центральное,
37,1-комн. квартира,Вторичка,30,17,6,"2,5 м",1 совмещенный,Косметический,1980,Да,Панельный,Железобетонные,1,Центральное,Нет,4 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Бурнаковский, Народная ул., 46На картеБурнаковская16 мин.Стрелка3 мин.Канавинская3 мин.",3 080 000 ₽,,На улицу,1 пассажирский,Наземная,Центральное,1-464
38,1-комн. квартира,Вторичка,"20,4","10,7","4,7","2,55 м",1 совмещенный,Без ремонта,1975,Да,Кирпичный,Железобетонные,1,Центральное,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Баранова, 11На карте",2 700 000 ₽,,Во двор,1 пассажирский,,Центральное,1-447
