,Наименование,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Ремонт,Год постройки,Мусоропровод,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Этаж,Адрес,Цена,Балкон/лоджия,Вид из окон,Количество лифтов,Парковка,Газоснабжение,Строительная серия
806,1-комн. квартира,Вторичка,"30,6",17,6,"2,6 м",1 совмещенный,Евроремонт,1975,,Панельный,Железобетонные,1,Центральное,Нет,6 из 9,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. 15-й квартал, Авангардная ул., 14На карте",3 450 000 ₽,,Во двор,1 пассажирский,Открытая,Центральное,
807,1-комн. квартира,Вторичка,"35,5",24,5,,1 совмещенный,Косметический,1972,,Кирпичный,Железобетонные,2,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Нагорный, ул. Бориса Корнилова, 6к2На карте",3 489 000 ₽,,,,,Центральное,
808,1-комн. квартира,Вторичка,"30,3","17,2","5,7",,1 совмещенный,Косметический,1975,,Панельный,Железобетонные,1,Центральное,Нет,5 из 9,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. 15-й квартал, Авангардная ул., 14На карте",3 450 000 ₽,,Во двор,1 пассажирский,Наземная,Центральное,
809,1-комн. квартира,Вторичка,"29,4","16,9","5,3",,1 совмещенный,Без ремонта,1959,,Кирпичный,Железобетонные,4,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Красные зори, Московское ш., 195На карте",3 450 000 ₽,,,,,Центральное,1-447
810,2-комн. квартира,Вторичка,45,28,6,"2,5 м",1 совмещенный,,1963,,Кирпичный,Железобетонные,2,Центральное,Нет,4 из 4,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Бурнаковский, ул. Левинка, 44На карте",3 490 000 ₽,1 балкон,Во двор,,,Центральное,
811,1-комн. квартира,Вторичка,"31,8","18,5","5,3",,1 совмещенный,,1963,,Панельный,Железобетонные,4,Центральное,Нет,4 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Вождей Революции, ул. Шимборского, 2На карте",3 470 000 ₽,1 балкон,,,,Центральное,
812,1-комн. квартира,Вторичка,35,18,"11,6",,,Косметический,1989,,Кирпичный,Железобетонные,1,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Спутника, 2БНа карте",3 450 000 ₽,,,,,Центральное,Индивидуальный проект
813,2-комн. квартира,Вторичка,"41,7",31,5,3 м,,Косметический,1990,,Кирпичный,Железобетонные,3,Центральное,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, ул. Софьи Перовской, 1АНа картеБуревестник17 мин.Бурнаковская5 мин.Канавинская6 мин.",3 490 000 ₽,,Во двор,,,Центральное,
814,1-комн. квартира,Вторичка,"32,6","18,1","5,5",,1 раздельный,Косметический,1988,,Кирпичный,Железобетонные,1,Центральное,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Дружаева, 15АНа карте",3 490 000 ₽,,,"1 пассажирский, 1 грузовой",,,
815,1-комн. квартира,Вторичка,"31,1","18,8","5,8",,,Косметический,1967,,Кирпичный,Железобетонные,4,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, Кемеровская ул., 16/1На карте",3 490 000 ₽,,,,,Центральное,
816,1-комн. квартира,Вторичка,31,"17,2","6,6","2,5 м",,Косметический,1942,,Кирпичный,Железобетонные,1,Центральное,Нет,6 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Ярошенко, 5На карте",3 500 000 ₽,,На улицу,1 пассажирский,,Центральное,1-447
817,2-комн. квартира,Вторичка,42,"26,4",6,,1 раздельный,Без ремонта,1979,,Панельный,Железобетонные,6,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мостоотряд, 24На карте",3 500 000 ₽,,,,,Центральное,1-464А
818,1-комн. квартира,Вторичка,"21,7","11,7",5,,1 совмещенный,Косметический,1972,Да,Кирпичный,Железобетонные,4,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Кузнечиха, бул. 60-летия Октября, 4На карте",3 500 000 ₽,1 балкон,,,,Центральное,
819,1-комн. квартира,Вторичка,"32,9","17,5","4,5","2,55 м",1 совмещенный,Косметический,1973,,,Нет информации,2,Центральное,Нет,5 из 6,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Карповка, ул. Героя Попова, 5На карте",3 500 000 ₽,,,,,Центральное,
820,1-комн. квартира,Вторичка,"28,3","17,3",6,"2,52 м",1 совмещенный,,1988,,Кирпичный,Железобетонные,1,Центральное,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Московский проспект, Березовская ул., 22На карте",3 520 000 ₽,1 балкон,,1 пассажирский,,Центральное,111-86
821,1-комн. квартира,Вторичка,"31,7","17,8","5,9",,1 совмещенный,Косметический,1966,,Кирпичный,Железобетонные,4,Центральное,Нет,2 из 4,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, просп. Ильича, 36АНа карте",3 500 000 ₽,,,,,Центральное,1-447
822,1-комн. квартира,Вторичка,"29,8","19,5",4,,1 раздельный,Косметический,1917,Нет,,Железобетонные,2,Котел/Квартирное отопление,Нет,1 из 1,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Ульянова, 42/16На картеГорьковская5 мин.Московская9 мин.Стрелка11 мин.",3 500 000 ₽,,,,,Центральное,
823,2-комн. квартира,Вторичка,39,28,5,,1 совмещенный,Косметический,1958,,,Нет информации,2,Котел/Квартирное отопление,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Народная стройка, ул. Янки Купалы, 15На карте",3 500 000 ₽,,На улицу,,,Центральное,
824,1-комн. квартира,Вторичка,"29,9","18,1",5,,1 раздельный,Косметический,1966,,,Нет информации,8,Центральное,Нет,5 из 6,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Московский проспект, просп. Героев, 41На карте",3 500 000 ₽,,,,,Центральное,
825,1-комн. квартира,Вторичка,32,18,6,,1 совмещенный,Косметический,1981,,Кирпичный,Железобетонные,6,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Сортировочный, Гороховецкая ул., 16АНа карте",3 500 000 ₽,1 балкон,,,,,Индивидуальный проект
826,1-комн. квартира,Вторичка,"36,3","16,3",15,,,Без ремонта,1917,,,Нет информации,2,Нет информации,Нет,3 из 3,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Пискунова, 9вНа карте",3 500 000 ₽,,,,,,
827,1-комн. квартира,Вторичка,"34,1","18,2",8,,,Без ремонта,1986,,Кирпичный,Железобетонные,10,Центральное,Нет,1 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 18к2На карте",3 500 000 ₽,,,1 пассажирский,,,
828,1-комн. квартира,Вторичка,"30,4",17,6,,,Косметический,1964,,Панельный,Нет информации,3,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, Южное ш., 55На карте",3 500 000 ₽,1 балкон,,,,Центральное,1-464А
829,1-комн. квартира,Вторичка,28,"17,5","5,5",,1 совмещенный,Косметический,1973,,Кирпичный,Железобетонные,2,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Дворовая, 29На картеАвтозаводская8 мин.",3 500 000 ₽,,,,,Центральное,Индивидуальный проект
830,2-комн. квартира,Вторичка,"37,8","27,8",5,,1 совмещенный,Без ремонта,1961,,,Нет информации,2,Центральное,Нет,2 из 3,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Спутника, 3На карте",3 500 000 ₽,,,,,Центральное,
831,1-комн. квартира,Вторичка,"36,5","19,5","8,2",,1 совмещенный,Косметический,1970,,Кирпичный,Железобетонные,2,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Авиационный, ул. Чаадаева, 6На карте",3 500 000 ₽,,,,,,1-447
832,1-комн. квартира,Вторичка,"34,3",,4,,1 совмещенный,Косметический,1982,,Кирпичный,Железобетонные,1,Центральное,Нет,2 из 9,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Народный, Планетная ул., 39На карте",3 500 000 ₽,,,1 пассажирский,,Центральное,164-80-4
833,1-комн. квартира,Вторичка,34,18,6,,1 раздельный,Без ремонта,1972,,Панельный,Железобетонные,12,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Дьяконова, 44На карте",3 500 000 ₽,1 балкон,,,,Центральное,1-464А
834,2-комн. квартира,Вторичка,"45,4","26,8",6,,1 раздельный,Без ремонта,1949,,,Нет информации,2,Центральное,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Вождей Революции, Свирская ул., 18На карте",3 500 000 ₽,,,,,Центральное,
835,2-комн. квартира,Вторичка,37,"26,3","4,6",,,Косметический,1959,,Блочный,Деревянные,2,Котел/Квартирное отопление,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Стахановский, Проезжая ул., 16На карте",3 500 000 ₽,,,,,Центральное,
836,1-комн. квартира,Вторичка,"32,4","18,5",6,"2,5 м",1 совмещенный,Косметический,1963,,Панельный,Железобетонные,4,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Дарьино, ул. Энгельса, 18На картеБуревестник3 мин.Бурнаковская5 мин.Канавинская6 мин.",3 500 000 ₽,,Во двор,,Наземная,Центральное,
837,2-комн. квартира,Вторичка,"38,2","27,3","4,3",,1 совмещенный,Косметический,1960,,Блочный,Деревянные,2,Центральное,Нет,2 из 3,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Спутника, 18На карте",3 550 000 ₽,,,,,Центральное,
838,1-комн. квартира,Вторичка,"30,5","16,6",7,,,Косметический,1973,,Кирпичный,Железобетонные,6,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Старых Производственников, 11На карте",3 550 000 ₽,1 балкон,,,,Центральное,1-447
839,Студия,Вторичка,21,15,1,,1 совмещенный,Евроремонт,2021,Да,Панельный,Железобетонные,2,Центральное,Нет,15 из 17,"Нижегородская область, Нижний Новгород, р-н Автозаводский, ул. Бориса Видяева, 10На карте",3 560 000 ₽,1 балкон,Во двор,1 пассажирский,,,
840,2-комн. квартира,Вторичка,37,"26,5","4,6",,1 совмещенный,,1959,Да,Блочный,Деревянные,2,Котел/Квартирное отопление,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Стахановский, Проезжая ул., 16На карте",3 570 000 ₽,,,,,Центральное,
841,1-комн. квартира,Вторичка,"31,7","18,5","5,6",,1 совмещенный,Без ремонта,1962,Да,Панельный,Железобетонные,4,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Черняховского, 12На карте",3 550 000 ₽,,Во двор,1 пассажирский,,Центральное,1-464
842,1-комн. квартира,Вторичка,"30,7","18,8","5,9",,1 совмещенный,Косметический,1962,Да,Кирпичный,Железобетонные,4,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Караваиха, ул. Вологдина, 1На карте",3 590 000 ₽,,,,,Центральное,
843,1-комн. квартира,Вторичка,"30,4","16,4","8,3",,1 совмещенный,Косметический,1992,Да,Кирпичный,Железобетонные,1,Центральное,Нет,1 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Авиационный, ул. Чаадаева, 2На карте",3 570 000 ₽,1 балкон,,1 пассажирский,,Центральное,111-86
844,Студия,Вторичка,22,13,3,"2,7 м",1 раздельный,Косметический,2014,,Панельный,Железобетонные,1,Центральное,Нет,15 из 17,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Юг, бул. Южный, 14На карте",3 570 000 ₽,1 лоджия,На улицу,"1 пассажирский, 1 грузовой",Наземная,,
845,1-комн. квартира,Вторичка,"30,7","18,8","5,9","2,5 м",1 совмещенный,Без ремонта,1962,,Кирпичный,Железобетонные,4,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Караваиха, ул. Вологдина, 1На карте",3 590 000 ₽,,На улицу,,Наземная,Центральное,
846,1-комн. квартира,Вторичка,31,18,"5,9",,,Косметический,1959,,Кирпичный,Железобетонные,2,Центральное,Нет,3 из 4,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, Заярская ул., 12На карте",3 550 000 ₽,1 балкон,,,,Центральное,
847,3-комн. квартира,Вторичка,"77,1",49,"10,7",,1 раздельный,Косметический,1949,,,Нет информации,2,Нет информации,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. 15-й квартал, Актюбинская ул., 11На карте",3 550 000 ₽,1 балкон,,,,,
848,1-комн. квартира,Вторичка,"21,8","11,9","4,9","2,55 м",,Евроремонт,1975,,Панельный,Железобетонные,1,Центральное,Нет,9 из 9,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. 15-й квартал, Авангардная ул., 14На карте",3 550 000 ₽,,На улицу,1 пассажирский,Наземная,Центральное,
849,1-комн. квартира,Вторичка,30,"17,3","5,4",,1 совмещенный,Косметический,1959,,Кирпичный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Красные зори, Московское ш., 189На карте",3 580 000 ₽,1 балкон,,,,Центральное,1-447
850,1-комн. квартира,Вторичка,"30,2","17,5",6,"2,7 м",,Евроремонт,1965,,Панельный,Железобетонные,3,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Светлоярский, ул. Мокроусова, 30На карте",3 550 000 ₽,,Во двор,,,Центральное,
851,1-комн. квартира,Вторичка,"30,4",18,6,"2,53 м",,Косметический,1966,,Кирпичный,Железобетонные,6,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. 15-й квартал, Тихорецкая ул., 4На карте",3 600 000 ₽,,На улицу,,Наземная,Центральное,
852,1-комн. квартира,Вторичка,"33,5","17,2",5,,,Косметический,1972,,,Нет информации,2,Центральное,Нет,6 из 6,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, ул. Профинтерна, 7АНа карте",3 600 000 ₽,,,,,Центральное,
853,1-комн. квартира,Вторичка,"31,8","18,3","5,9",,1 совмещенный,Евроремонт,1960,,Кирпичный,Железобетонные,4,Центральное,Нет,4 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Ярошенко, 17На картеБуревестник7 мин.",3 600 000 ₽,,Во двор,,,Центральное,1-447
854,1-комн. квартира,Вторичка,32,20,5,"2,75 м",1 совмещенный,Косметический,1960,Да,Кирпичный,Железобетонные,2,Центральное,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Усиловский, Яблоневая ул., 12На карте",3 600 000 ₽,,,,,Центральное,
855,1-комн. квартира,Вторичка,"35,6","20,2","7,5",,1 совмещенный,Без ремонта,1992,,Кирпичный,Железобетонные,1,Центральное,Нет,9 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Авиационный, ул. Чаадаева, 2На карте",3 600 000 ₽,1 лоджия,,1 пассажирский,,Центральное,111-86
856,1-комн. квартира,Вторичка,"35,3",17,8,,2 раздельных,Без ремонта,1989,,Панельный,Железобетонные,1,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. 15-й квартал, Авангардная ул., 20На карте",3 600 000 ₽,1 лоджия,,1 пассажирский,,Центральное,
857,1-комн. квартира,Вторичка,28,17,"5,5","2,5 м",1 совмещенный,Без ремонта,1966,,Кирпичный,Железобетонные,6,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, Щербинки-1 микрорайон, 2На карте",3 620 000 ₽,,На улицу,,,Центральное,
858,1-комн. квартира,Вторичка,"32,3","19,1","5,5",,1 совмещенный,Косметический,1967,Да,Панельный,Железобетонные,4,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. 6, Южное ш., 22БНа карте",3 600 000 ₽,,,1 пассажирский,,Центральное,1-464А
859,2-комн. квартира,Вторичка,37,25,5,"2,7 м",1 совмещенный,Евроремонт,1958,,Блочный,Деревянные,2,Котел/Квартирное отопление,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Народная стройка, Турнирная ул., 1На карте",3 630 000 ₽,,На улицу,,Наземная,Центральное,
860,2-комн. квартира,Вторичка,"38,9",28,"5,9","2,5 м",1 совмещенный,Косметический,1959,,Кирпичный,Железобетонные,2,Котел/Квартирное отопление,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, ул. Бекетова, 78На карте",3 600 000 ₽,,На улицу и двор,,Наземная,Центральное,
861,1-комн. квартира,Вторичка,"34,5","16,6","9,9",,1 раздельный,Без ремонта,1970,Да,Кирпичный,Железобетонные,1,Центральное,Нет,8 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Веденяпина, 21На карте",3 600 000 ₽,2 балкона,,1 пассажирский,,Центральное,
862,1-комн. квартира,Вторичка,"29,4",18,"5,1",,,Косметический,1973,,Кирпичный,Железобетонные,1,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Дружаева, 13На карте",3 600 000 ₽,1 балкон,,1 пассажирский,,Центральное,1-447
863,1-комн. квартира,Вторичка,"34,1",17,"11,4","2,6 м",1 совмещенный,Косметический,1982,Да,Кирпичный,Железобетонные,1,Центральное,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. 5-6-7 Сормова, ул. Зайцева, 3На картеБуревестник13 мин.Бурнаковская15 мин.Канавинская16 мин.",3 600 000 ₽,,,2 пассажирских,,Центральное,
864,1-комн. квартира,Вторичка,"31,2",19,"5,5",,1 совмещенный,Без ремонта,1967,,,Нет информации,4,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, ул. Профинтерна, 16АНа карте",3 600 000 ₽,1 балкон,,,,Центральное,
865,1-комн. квартира,Вторичка,"32,9",,"4,5",,1 раздельный,Косметический,1973,,,Нет информации,2,Центральное,Нет,5 из 6,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Карповка, ул. Героя Попова, 5На карте",3 600 000 ₽,1 балкон,,,,Центральное,
866,2-комн. квартира,Вторичка,48,34,7,,1 раздельный,Косметический,1958,,Кирпичный,Деревянные,1,Центральное,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Карповка, пер. Ермака, 10На карте",3 600 000 ₽,1 балкон,,,,Центральное,
867,1-комн. квартира,Вторичка,"24,4","12,8",4,,1 совмещенный,Евроремонт,1960,,Кирпичный,Деревянные,2,Центральное,Нет,2 из 4,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. проспект Гагарина, просп. Гагарина, 21к6На картеГорьковская4 мин.Московская7 мин.Ленинская8 мин.",3 600 000 ₽,,Во двор,,Наземная,Центральное,
868,2-комн. квартира,Вторичка,"44,8","29,7","6,2",,1 раздельный,Косметический,1972,,Кирпичный,Железобетонные,6,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Сортировочный, ул. Болотникова, 7На карте",3 630 000 ₽,,На улицу,,,Центральное,
869,Студия,Вторичка,"17,1","11,1",1,,1 совмещенный,Косметический,2013,,,Железобетонные,2,Центральное,Нет,5 из 10,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Бурнаковский, Бурнаковская ул., 55На карте",3 650 000 ₽,,,"1 пассажирский, 1 грузовой",,,
870,Студия,Вторичка,21,,5,,1 совмещенный,Косметический,1935,,,Нет информации,4,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, просп. Ленина, 2На карте",3 699 000 ₽,,,,,Центральное,
871,1-комн. квартира,Вторичка,"36,3","18,5",9,,1 совмещенный,Без ремонта,1992,,Кирпичный,Железобетонные,1,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, просп. Бусыгина, 60На картеАвтозаводская28 мин.Автозаводская7 мин.",3 699 986 ₽,1 лоджия,,1 пассажирский,,Центральное,85.0
872,2-комн. квартира,Вторичка,"45,3","32,6","5,4",,1 совмещенный,Косметический,1967,,Панельный,Железобетонные,3,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Светлоярский, ул. Станиславского, 6На карте",3 650 000 ₽,1 балкон,,,,Центральное,
873,1-комн. квартира,Вторичка,"32,2","16,5","6,5",,1 совмещенный,,1972,Да,Кирпичный,Нет информации,4,Индивидуальный тепловой пункт,Нет,4 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 10аНа карте",3 650 000 ₽,1 балкон,,,,Центральное,1-447
874,1-комн. квартира,Вторичка,"42,4",18,"14,5","2,7 м",1 совмещенный,Без ремонта,,,Кирпичный,,,,,1 из 3,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Дубенки, Полярная ул., 51На карте",3 650 000 ₽,,Во двор,,,,
875,1-комн. квартира,Вторичка,"31,3","18,9","5,8",,1 совмещенный,Косметический,1969,,,Нет информации,,Нет информации,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, просп. Ленина, 28к6На карте",3 650 000 ₽,,,,,,
876,1-комн. квартира,Вторичка,"30,1","18,1",7,,1 совмещенный,Дизайнерский,1962,,Кирпичный,Железобетонные,1,Центральное,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Дубенки, ул. 40 лет Октября, 21На карте",3 690 000 ₽,,На улицу,,Наземная,Центральное,
877,1-комн. квартира,Вторичка,30,17,6,"2,5 м",1 совмещенный,Косметический,1962,,Кирпичный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Сазанова, 4На карте",3 650 000 ₽,,На улицу и двор,,Наземная,Центральное,
878,2-комн. квартира,Вторичка,"38,5","28,5","4,4",,1 совмещенный,Косметический,1958,,,Нет информации,2,Центральное,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Красных Партизан, 4БНа карте",3 660 000 ₽,,На улицу и двор,,Наземная,Центральное,
879,1-комн. квартира,Вторичка,"35,3",17,8,,1 раздельный,Косметический,1989,,Панельный,Железобетонные,1,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. 15-й квартал, Авангардная ул., 20На карте",3 650 000 ₽,1 лоджия,Во двор,1 пассажирский,,Центральное,
880,2-комн. квартира,Вторичка,"40,6",26,6,,1 раздельный,Косметический,1971,,Кирпичный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, Соцгород-1 микрорайон, просп. Октября, 33На карте",3 650 000 ₽,,,,,Центральное,1-447
881,Студия,Вторичка,"20,1","10,1",5,,1 совмещенный,Косметический,,,Монолитный,,,,,10 из 10,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Кузнечиха, ул. Новокузнечихинская, 5На карте",3 690 000 ₽,1 лоджия,,1 пассажирский,,,
882,2-комн. квартира,Вторичка,41,27,6,,1 раздельный,Косметический,1974,,Кирпичный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. поселок Новый, ул. Федосеенко, 98На карте",3 650 000 ₽,1 балкон,,,,Центральное,
883,1-комн. квартира,Вторичка,"44,8","22,7",15,,,,,,Кирпичный,,,,,1 из 1,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Стахановский, Малышево поселок, ул. Малоэтажная, 42На карте",3 650 000 ₽,,,,,,
884,1-комн. квартира,Вторичка,26,16,5,,1 раздельный,Косметический,1969,,Кирпичный,Железобетонные,3,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, ул. Бориса Панина, 19АНа картеГорьковская5 мин.",3 690 000 ₽,,Во двор,,,Центральное,
885,2-комн. квартира,Вторичка Пентхаус,"37,5","27,3",7,"2,7 м",1 раздельный,Косметический,1987,Да,Кирпичный,Железобетонные,1,Центральное,Нет,9 из 9,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, Архитектурная ул., 2к2На картеЗаречная18 мин.Двигатель Революции4 мин.Ленинская6 мин.",3 650 000 ₽,,На улицу,1 пассажирский,,Центральное,
886,1-комн. квартира,Вторичка,"32,3","18,5","5,7",,1 совмещенный,Косметический,1963,,Панельный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Вождей Революции, ул. Шимборского, 7На картеБуревестник6 мин.Бурнаковская9 мин.Канавинская9 мин.",3 650 000 ₽,1 балкон,Во двор,,Наземная,Центральное,
887,2-комн. квартира,Вторичка,"44,8","30,1","6,5",,,Без ремонта,1958,,Кирпичный,Железобетонные,1,Котел/Квартирное отопление,Нет,2 из 2,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, ул. Бекетова, 14АНа карте",3 700 000 ₽,,,,,Центральное,
888,1-комн. квартира,Вторичка,25,13,4,,1 совмещенный,Евроремонт,2021,,Панельный,Железобетонные,2,Центральное,Нет,6 из 10,"Нижегородская область, Нижний Новгород, р-н Сормовский, просп. Кораблестроителей, 66На карте",3 700 000 ₽,1 балкон,Во двор,,,,
889,1-комн. квартира,Вторичка,"31,8","18,5","5,9","2,5 м",1 совмещенный,Косметический,1961,Да,Кирпичный,Железобетонные,2,Центральное,Нет,1 из 4,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Канавино, Вольская ул., 17АНа карте",3 740 000 ₽,,Во двор,,,Центральное,
890,1-комн. квартира,Вторичка,"28,4","17,4","5,2",,1 совмещенный,Косметический,1976,Да,Кирпичный,Железобетонные,1,Центральное,Нет,3 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 15Ак1На карте",3 700 000 ₽,,,1 пассажирский,,Центральное,1-447
891,1-комн. квартира,Вторичка,39,20,11,,1 совмещенный,Без ремонта,,,Кирпичный,,,,,3 из 3,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Дубенки, Полярная ул., 51На карте",3 700 000 ₽,1 балкон,Во двор,,,,
892,1-комн. квартира,Вторичка,31,18,"5,8",,1 совмещенный,Косметический,1960,,Кирпичный,Железобетонные,4,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Красные зори, Московское ш., 197На карте",3 700 000 ₽,,,,,Центральное,1-447
